listing_id,listed_date,country,brand,model,fuel,transmission,seller_type,age_years,mileage_km,power_kw,previous_owners,accident_free,days_on_market,asking_price_eur
CAR-03419,2024-01-03,DE,Skoda,Octavia,Diesel,Automatic,Franchise dealer,4,57232,197,2,True,21,15090
CAR-00879,2024-01-03,DE,Mercedes-Benz,A-Class,Petrol,Automatic,Franchise dealer,3,58510,130,2,True,41,18570
CAR-01964,2024-01-04,DE,Volkswagen,Passat,Diesel,Manual,Franchise dealer,9,180127,110,3,True,52,6090
CAR-00892,2024-01-04,DE,Audi,A4,Petrol,Automatic,Independent dealer,6,101186,148,3,True,17,10390
CAR-04565,2024-01-04,DE,Volkswagen,Golf,Electric,Manual,Franchise dealer,7,125442,153,3,True,28,5720
CAR-03897,2024-01-04,DE,Audi,Q5,Diesel,Automatic,Independent dealer,6,117171,70,2,True,21,11710
CAR-04033,2024-01-04,DE,Mercedes-Benz,C-Class,Hybrid,Manual,Franchise dealer,5,78945,142,2,True,57,15700
CAR-00480,2024-01-04,DE,Audi,A4,Diesel,Automatic,Independent dealer,7,120134,90,3,True,75,7420
CAR-02012,2024-01-04,DE,BMW,X3,Hybrid,Automatic,Independent dealer,3,42122,149,1,True,47,37380
CAR-00463,2024-01-04,DE,Audi,e-tron,Electric,Automatic,Independent dealer,2,47053,217,3,True,78,45850
CAR-03960,2024-01-05,DE,Audi,Q5,Petrol,Automatic,Private,2,37757,127,1,True,63,33820
CAR-04255,2024-01-05,DE,BMW,X1,Electric,Automatic,Franchise dealer,4,75930,140,2,True,14,20110
CAR-01325,2024-01-05,DE,Skoda,Karoq,Petrol,Manual,Franchise dealer,6,134573,90,3,True,14,6340
CAR-04707,2024-01-05,DE,Mercedes-Benz,E-Class,Electric,Automatic,Franchise dealer,2,46638,142,1,True,69,44470
CAR-03769,2024-01-05,DE,Volkswagen,ID.4,Diesel,Automatic,Franchise dealer,5,56314,121,3,True,69,17090
CAR-02544,2024-01-05,DE,Mercedes-Benz,GLA,Diesel,Automatic,Franchise dealer,6,132877,132,2,True,56,9550
CAR-04793,2024-01-05,DE,Skoda,Superb,Petrol,Automatic,Independent dealer,6,106168,122,2,True,7,10420
CAR-03849,2024-01-06,DE,Audi,A4,Diesel,Manual,Private,1,22202,169,1,True,75,38470
CAR-02547,2024-01-06,DE,BMW,3 Series,Hybrid,Automatic,Private,5,77526,182,2,True,108,16530
CAR-01981,2024-01-06,DE,Audi,A3,Hybrid,Automatic,Independent dealer,5,96139,143,1,True,32,13830
CAR-02875,2024-01-06,DE,BMW,5 Series,Petrol,Automatic,Franchise dealer,5,92002,143,2,True,91,17410
CAR-03569,2024-01-06,AT,Audi,Q5,Hybrid,Automatic,Independent dealer,2,16952,151,1,False,43,39020
CAR-03625,2024-01-07,DE,Mercedes-Benz,C-Class,Electric,Automatic,Independent dealer,5,109613,139,3,True,46,14910
CAR-01766,2024-01-07,AT,Skoda,Kodiaq,Hybrid,Automatic,Franchise dealer,1,29400,177,1,True,44,43770
CAR-01794,2024-01-07,DE,Skoda,Octavia,Petrol,Automatic,Private,6,123314,164,4,True,66,6820
CAR-01628,2024-01-08,AT,BMW,X1,Petrol,Automatic,Independent dealer,5,62957,148,3,True,67,16200
CAR-04637,2024-01-08,DE,Volkswagen,Tiguan,Petrol,Automatic,Independent dealer,11,177442,161,4,True,46,5920
CAR-04642,2024-01-08,DE,Mercedes-Benz,GLA,Hybrid,Automatic,Independent dealer,1,43065,91,1,True,40,34510
CAR-02323,2024-01-09,DE,BMW,X1,Petrol,Manual,Independent dealer,8,148502,168,3,False,48,5580
CAR-04929,2024-01-09,NL,Audi,e-tron,Diesel,Automatic,Private,4,48227,167,2,True,64,29850
CAR-03024,2024-01-09,DE,Audi,Q5,Electric,Automatic,Independent dealer,2,46574,167,1,True,31,43890
CAR-02367,2024-01-10,DE,Audi,Q5,Electric,Automatic,Franchise dealer,8,153149,230,4,False,37,7690
CAR-02983,2024-01-10,DE,Volkswagen,ID.3,Diesel,Automatic,Independent dealer,3,73266,249,1,True,22,20710
CAR-04268,2024-01-11,DE,Volkswagen,Golf,Diesel,Automatic,Independent dealer,2,29875,239,1,False,49,20350
CAR-04486,2024-01-12,AT,Volkswagen,ID.3,Electric,Automatic,Franchise dealer,9,144943,195,3,True,29,5910
CAR-02525,2024-01-12,DE,BMW,3 Series,Diesel,Automatic,Private,3,64941,70,3,True,35,16770
CAR-03075,2024-01-12,DE,Skoda,Karoq,Petrol,Manual,Franchise dealer,2,38792,222,1,True,41,25450
CAR-02850,2024-01-12,DE,Audi,e-tron,Petrol,Automatic,Franchise dealer,6,135665,89,3,True,81,14650
CAR-01554,2024-01-12,DE,Audi,Q5,Petrol,Automatic,Independent dealer,4,79932,233,2,True,28,28600
CAR-04322,2024-01-12,DE,Volkswagen,Passat,Diesel,Automatic,Private,0,16080,161,1,False,22,34410
CAR-01564,2024-01-13,DE,Volkswagen,Golf,Hybrid,Automatic,Independent dealer,5,104310,97,2,True,5,8840
CAR-00135,2024-01-13,DE,BMW,5 Series,Petrol,Automatic,Franchise dealer,13,206342,190,5,True,15,5670
CAR-01329,2024-01-13,DE,BMW,5 Series,Hybrid,Automatic,Private,8,156935,116,3,False,78,6880
CAR-02245,2024-01-13,DE,BMW,X3,Diesel,Automatic,Independent dealer,4,40598,236,2,True,31,30980
CAR-00752,2024-01-13,AT,Audi,A4,Hybrid,Automatic,Franchise dealer,7,141553,128,1,True,102,8930
CAR-01533,2024-01-13,DE,Volkswagen,Passat,Petrol,Automatic,Independent dealer,9,177578,70,3,True,83,5560
CAR-01411,2024-01-13,DE,Skoda,Karoq,Diesel,Automatic,Independent dealer,2,33629,152,1,False,48,20250
CAR-02522,2024-01-13,DE,Audi,Q3,Electric,Manual,Franchise dealer,7,106337,136,5,True,77,8370
CAR-01234,2024-01-14,AT,BMW,3 Series,Petrol,Automatic,Franchise dealer,7,106983,98,3,True,9,7850
CAR-00544,2024-01-14,DE,BMW,X1,Diesel,Automatic,Franchise dealer,2,40243,194,2,True,37,34450
CAR-04739,2024-01-14,DE,Volkswagen,ID.4,Electric,Manual,Franchise dealer,0,23346,203,1,True,93,54700
CAR-01526,2024-01-14,AT,Audi,A4,Electric,Automatic,Franchise dealer,6,124396,168,3,True,42,12530
CAR-03274,2024-01-14,DE,Volkswagen,ID.4,Hybrid,Manual,Private,5,74116,182,3,True,37,16800
CAR-02747,2024-01-14,DE,BMW,X3,Diesel,Automatic,Private,1,14877,166,1,False,25,45290
CAR-00589,2024-01-15,DE,BMW,X3,Petrol,Automatic,Independent dealer,2,54939,171,1,True,16,45020
CAR-03658,2024-01-15,AT,Skoda,Octavia,Petrol,Automatic,Independent dealer,3,88079,111,4,True,34,13540
CAR-04832,2024-01-15,DE,Volkswagen,Tiguan,Diesel,Manual,Franchise dealer,1,21984,253,2,True,3,41050
CAR-01790,2024-01-15,DE,Volkswagen,ID.3,Petrol,Manual,Franchise dealer,9,172510,187,4,True,35,5460
CAR-04122,2024-01-15,AT,Skoda,Enyaq,Electric,Automatic,Independent dealer,3,74578,110,1,True,76,22290
CAR-02982,2024-01-15,DE,BMW,X3,Petrol,Automatic,Independent dealer,13,253087,133,5,True,61,5550
CAR-00569,2024-01-15,DE,Mercedes-Benz,A-Class,Diesel,Automatic,Independent dealer,1,23838,138,1,True,164,29340
