listing_id,listed_date,country,brand,model,fuel,transmission,seller_type,age_years,mileage_km,power_kw,previous_owners,accident_free,days_on_market,asking_price_eur,model_price_eur,price_p10_eur,price_p90_eur,price_gap_pct,recommended_action
CAR-01048,2026-01-03,DE,Skoda,Octavia,Petrol,Automatic,Independent dealer,1,12150,257,1,True,73,35450,37388,32115,43186,-5.2,Hold
CAR-03825,2026-01-03,DE,Mercedes-Benz,GLA,Hybrid,Manual,Private,4,96498,183,2,False,59,16500,13746,11807,15878,20.0,Review markdown
CAR-02679,2026-01-03,DE,Audi,Q5,Electric,Automatic,Franchise dealer,7,100717,131,2,True,55,13720,13810,11862,15951,-0.7,Hold
CAR-04834,2026-01-04,DE,Audi,A3,Petrol,Automatic,Private,4,84145,113,3,True,35,12020,12649,10865,14611,-5.0,Hold
CAR-00188,2026-01-04,DE,Volkswagen,Golf,Petrol,Automatic,Independent dealer,8,146326,74,5,True,32,5480,4833,4151,5582,13.4,Hold
CAR-03323,2026-01-04,DE,Volkswagen,ID.4,Petrol,Automatic,Franchise dealer,1,16604,88,1,True,15,44800,40884,35117,47224,9.6,Hold
CAR-03436,2026-01-04,DE,Audi,Q3,Petrol,Automatic,Franchise dealer,4,86573,208,2,True,20,21810,18461,15857,21323,18.1,Hold
CAR-00654,2026-01-04,DE,Skoda,Superb,Electric,Automatic,Private,2,44404,149,2,True,19,26420,27187,23352,31403,-2.8,Hold
CAR-02927,2026-01-04,DE,Mercedes-Benz,C-Class,Diesel,Automatic,Independent dealer,4,67377,231,2,True,47,23270,20872,17928,24108,11.5,Review markdown
CAR-01137,2026-01-04,DE,Mercedes-Benz,A-Class,Diesel,Manual,Franchise dealer,6,86512,134,3,True,35,8620,9394,8069,10851,-8.2,Check underpricing
CAR-01484,2026-01-04,DE,Volkswagen,ID.4,Electric,Automatic,Independent dealer,3,66319,135,3,True,7,27070,22658,19462,26171,19.5,Hold
CAR-03577,2026-01-05,DE,Audi,Q5,Petrol,Automatic,Franchise dealer,13,194239,105,5,True,66,5530,6398,5496,7390,-13.6,Check underpricing
CAR-02309,2026-01-05,DE,Skoda,Karoq,Electric,Automatic,Private,5,76729,178,2,True,43,11960,12101,10395,13978,-1.2,Hold
CAR-03036,2026-01-05,DE,Volkswagen,ID.3,Electric,Automatic,Franchise dealer,6,94192,159,2,True,16,12280,11592,9957,13389,5.9,Hold
CAR-00356,2026-01-05,DE,Volkswagen,Golf,Petrol,Manual,Private,1,22562,141,1,True,13,24580,26313,22602,30394,-6.6,Hold
CAR-04146,2026-01-06,NL,BMW,5 Series,Petrol,Automatic,Franchise dealer,1,16411,208,1,True,32,71290,60109,51631,69431,18.6,Hold
CAR-00251,2026-01-06,AT,Skoda,Octavia,Petrol,Automatic,Private,4,81711,70,3,True,6,11920,10723,9211,12386,11.2,Hold
CAR-03855,2026-01-06,DE,BMW,i4,Electric,Manual,Franchise dealer,5,103101,119,4,True,22,18970,16251,13958,18771,16.7,Hold
CAR-04512,2026-01-06,DE,Skoda,Superb,Electric,Manual,Private,7,121118,134,3,True,47,7470,8045,6910,9292,-7.1,Hold
CAR-02196,2026-01-07,NL,BMW,3 Series,Electric,Automatic,Independent dealer,5,95973,150,2,True,19,14860,14205,12202,16408,4.6,Hold
CAR-03484,2026-01-07,DE,Volkswagen,Passat,Electric,Manual,Independent dealer,1,51680,188,1,False,71,28030,31167,26771,36000,-10.1,Check underpricing
CAR-04271,2026-01-07,DE,Mercedes-Benz,GLA,Petrol,Automatic,Private,4,86187,154,1,True,76,17010,16332,14028,18864,4.2,Hold
CAR-04258,2026-01-07,AT,Skoda,Karoq,Petrol,Automatic,Independent dealer,6,111860,128,2,True,42,9070,9089,7807,10499,-0.2,Hold
CAR-04347,2026-01-07,DE,Skoda,Kodiaq,Petrol,Automatic,Franchise dealer,8,145507,202,4,True,80,7630,8356,7177,9652,-8.7,Check underpricing
CAR-01583,2026-01-07,DE,Audi,Q5,Petrol,Manual,Independent dealer,3,68842,191,2,True,60,32220,28085,24123,32440,14.7,Review markdown
CAR-03941,2026-01-07,DE,BMW,X3,Petrol,Manual,Franchise dealer,3,51902,140,3,True,28,26810,27073,23255,31272,-1.0,Hold
CAR-03996,2026-01-07,DE,BMW,i4,Diesel,Automatic,Independent dealer,6,100828,116,3,True,70,14740,13579,11664,15685,8.5,Review markdown
CAR-03268,2026-01-07,DE,Skoda,Superb,Diesel,Manual,Franchise dealer,4,84571,154,3,True,30,15940,14817,12727,17115,7.6,Hold
